iter	Passed	Remaining
686	2721	1239
687	2725	1236
688	2729	1232
689	2734	1228
690	2739	1224
691	2743	1220
692	2747	1217
693	2751	1213
694	2755	1209
695	2758	1205
696	2762	1201
697	2766	1197
698	2770	1193
699	2775	1189
700	2778	1185
701	2782	1181
702	2787	1177
703	2790	1173
704	2795	1169
705	2799	1165
706	2803	1161
707	2808	1158
708	2813	1154
709	2817	1150
710	2821	1146
711	2825	1142
712	2829	1138
713	2833	1135
714	2837	1130
715	2841	1127
716	2844	1122
717	2847	1118
718	2851	1114
719	2856	1110
720	2862	1107
721	2867	1103
722	2870	1099
723	2874	1095
724	2879	1092
725	2883	1088
726	2888	1084
727	2892	1080
728	2896	1076
729	2902	1073
730	2906	1069
731	2911	1065
732	2916	1062
733	2920	1058
734	2926	1055
735	2931	1051
736	2935	1047
737	2939	1043
738	2943	1039
739	2948	1035
740	2952	1031
741	2956	1028
742	2961	1024
743	2966	1020
744	2970	1016
745	2975	1013
746	2980	1009
747	2984	1005
748	2988	1001
749	2992	997
750	2996	993
751	3000	989
752	3004	985
753	3008	981
754	3013	977
755	3016	973
756	3022	970
757	3026	966
758	3031	962
759	3035	958
760	3039	954
761	3044	950
762	3047	946
763	3052	943
764	3057	939
765	3062	935
766	3065	931
767	3070	927
768	3074	923
769	3079	919
770	3082	915
771	3087	911
772	3091	907
773	3095	903
774	3100	900
775	3104	896
776	3109	892
777	3113	888
778	3117	884
779	3122	880
780	3127	877
781	3132	873
782	3136	869
783	3140	865
784	3146	861
785	3150	857
786	3155	854
787	3159	850
788	3164	846
789	3168	842
790	3173	838
791	3177	834
792	3181	830
793	3185	826
794	3190	822
795	3194	818
796	3198	814
797	3203	810
798	3207	806
799	3211	802
800	3216	798
801	3220	795
802	3225	791
803	3229	787
804	3233	783
805	3240	779
806	3244	775
807	3249	772
808	3253	768
809	3258	764
810	3262	760
811	3267	756
812	3271	752
813	3276	748
814	3281	744
815	3284	740
816	3288	736
817	3294	732
818	3298	728
819	3302	724
820	3307	721
821	3312	717
822	3317	713
823	3321	709
824	3325	705
825	3329	701
826	3333	697
827	3339	693
828	3344	689
829	3348	685
830	3352	681
831	3358	678
832	3362	674
833	3366	670
834	3370	666
835	3375	662
836	3380	658
837	3384	654
838	3388	650
839	3392	646
840	3396	642
841	3400	638
842	3404	634
843	3409	630
844	3415	626
845	3419	622
846	3423	618
847	3427	614
848	3431	610
849	3436	606
850	3441	602
851	3446	598
852	3450	594
853	3455	590
854	3459	586
855	3463	582
856	3468	578
857	3472	574
858	3477	570
859	3481	566
860	3486	562
861	3490	558
862	3495	554
863	3499	550
864	3504	546
865	3508	542
866	3512	538
867	3516	534
868	3520	530
869	3524	526
870	3529	522
871	3534	518
872	3538	514
873	3543	510
874	3547	506
875	3552	502
876	3556	498
877	3560	494
878	3564	490
879	3569	486
880	3573	482
881	3577	478
882	3582	474
883	3586	470
884	3591	466
885	3596	462
886	3600	458
887	3605	454
888	3609	450
889	3614	446
890	3618	442
891	3623	438
892	3627	434
893	3631	430
894	3636	426
895	3640	422
896	3644	418
897	3648	414
898	3652	410
899	3656	406
900	3659	402
901	3663	398
902	3667	394
903	3671	389
904	3675	385
905	3679	381
906	3683	377
907	3686	373
908	3690	369
909	3695	365
910	3700	361
911	3704	357
912	3708	353
913	3712	349
914	3716	345
915	3721	341
916	3725	337
917	3730	333
918	3735	329
919	3739	325
920	3743	321
921	3747	317
922	3751	312
923	3756	308
924	3761	304
925	3765	300
926	3769	296
927	3773	292
928	3778	288
929	3781	284
930	3785	280
931	3790	276
932	3795	272
933	3799	268
934	3803	264
935	3807	260
936	3811	256
937	3815	252
938	3820	248
939	3824	244
940	3828	240
941	3833	236
942	3837	231
943	3841	227
944	3845	223
945	3850	219
946	3853	215
947	3858	211
948	3862	207
949	3866	203
950	3869	199
951	3874	195
952	3878	191
953	3882	187
954	3886	183
955	3890	179
956	3894	174
957	3898	170
958	3902	166
959	3906	162
960	3910	158
961	3914	154
962	3918	150
963	3922	146
964	3927	142
965	3931	138
966	3935	134
967	3940	130
968	3943	126
969	3947	122
970	3950	117
971	3954	113
972	3958	109
973	3962	105
974	3966	101
975	3970	97
976	3974	93
977	3977	89
978	3981	85
979	3986	81
980	3990	77
981	3994	73
982	3997	69
983	4001	65
984	4005	61
985	4010	56
986	4015	52
987	4021	48
988	4026	44
989	4031	40
990	4036	36
991	4040	32
992	4047	28
993	4051	24
994	4054	20
995	4058	16
996	4062	12
997	4066	8
998	4070	4
999	4075	0
